campaign_id,campaign_name,channel,region,impressions,clicks,conversions,cost,revenue,start_date,end_date
1,Summer Sale,LinkedIn,Africa,75732,4714,388,4511.15,10143.63,2024-07-26,2024-07-30
2,Mega Campaign,LinkedIn,Europe,153956,1661,212,4539.69,5661.39,2025-02-10,2025-02-14
3,Autumn Deals,Instagram,Asia,441847,3818,490,612.53,1010.19,2024-08-25,2024-09-01
4,Spring Promo,Twitter,Asia,220608,2723,155,331.9,4467.13,2025-01-12,2025-01-18
5,Spring Promo,Instagram,Australia,173099,806,272,2738.59,6260.38,2024-06-06,2024-06-09
6,Mega Campaign,Facebook,Europe,496863,314,66,3537.46,5262.91,2025-04-12,2025-04-17
7,Summer Sale,Instagram,South America,324659,4116,193,3600.3,7326.35,2025-04-07,2025-04-10
8,Spring Promo,Google Ads,Africa,125492,3518,252,4297.23,7530.13,2024-12-31,2025-01-09
9,Summer Sale,Twitter,Europe,122935,4752,251,3871.52,4608.64,2024-11-21,2024-11-26
10,Summer Sale,Instagram,Africa,310830,4583,165,1589.67,9594.92,2024-11-07,2024-11-19
11,Spring Promo,LinkedIn,South America,71564,1539,75,2117.96,3577.27,2024-11-11,2024-11-23
12,Mega Campaign,LinkedIn,Australia,149565,330,74,2120.96,7379.19,2025-01-10,2025-01-22
13,Spring Promo,Google Ads,South America,120951,4575,276,1746.45,5376.19,2024-06-09,2024-06-22
14,Spring Promo,LinkedIn,Australia,84961,2744,365,4663.9,6689.1,2024-11-15,2024-11-27
15,Mega Campaign,Twitter,Europe,342868,3735,453,3558.92,6778.56,2024-11-01,2024-11-16
16,Summer Sale,Twitter,Asia,200415,1058,226,2735.95,3465.18,2025-04-16,2025-04-24
17,Spring Promo,Twitter,Africa,65082,1957,290,725.67,980.26,2024-07-10,2024-07-20
18,Winter Blast,LinkedIn,North America,488132,2444,60,382.3,1799.65,2025-03-27,2025-04-09
19,Spring Promo,Facebook,South America,482795,4925,263,713.95,6585.1,2024-07-27,2024-08-08
20,Mega Campaign,Instagram,Australia,178350,257,76,1399.15,2488.18,2024-10-28,2024-11-12
21,Mega Campaign,LinkedIn,Africa,399792,2465,202,4066.79,8937.22,2025-04-08,2025-04-15
22,Winter Blast,Twitter,Asia,149830,4062,269,2492.8,11645.7,2024-07-05,2024-07-20
23,Autumn Deals,Google Ads,Africa,423335,3618,192,3725.2,11356.37,2024-07-15,2024-07-29
24,Spring Promo,Facebook,Australia,391621,2186,137,726.23,4195.19,2024-12-11,2024-12-23
